item,origin,latitude,longitude,seconds,dest,lat,long
47,1100015,-11.9283,-61.9953,129546,3548708,-23.6914,-46.5646
48,1100015,-11.9283,-61.9953,109086,3549805,-20.8113,-49.3758
49,1100015,-11.9283,-61.9953,130638,3549904,-23.1896,-45.8841
50,1100015,-11.9283,-61.9953,131526,3551009,-23.9574,-46.3883
51,1100015,-11.9283,-61.9953,126606,3552205,-23.4969,-47.4451
52,1100015,-11.9283,-61.9953,132132,3554102,-23.0104,-45.5593
53,1100015,-11.9283,-61.9953,122082,4104808,-24.9573,-53.459
54,1100015,-11.9283,-61.9953,117948,4113700,-23.304,-51.1691
55,1100015,-11.9283,-61.9953,116706,4115200,-23.4205,-51.9333
56,1100015,-11.9283,-61.9953,129792,4119905,-25.0916,-50.1668
57,1100015,-11.9283,-61.9953,135798,4125506,-25.5313,-49.2031
58,1100015,-11.9283,-61.9953,146964,4202404,-26.9155,-49.0709
59,1100015,-11.9283,-61.9953,141444,4209102,-26.3045,-48.8487
60,1100015,-11.9283,-61.9953,166542,4304606,-29.9128,-51.1857
61,1100015,-11.9283,-61.9953,161400,4305108,-29.1629,-51.1792
62,1100015,-11.9283,-61.9953,176352,4314407,-31.7649,-52.3371
63,1100015,-11.9283,-61.9953,99378,5201405,-16.8198,-49.2469
64,1100015,-11.9283,-61.9953,99084,5208707,-16.6864,-49.2643
65,1100023,-9.90571,-63.0325,115224,1400100,2.82384,-60.6753
66,1100023,-9.90571,-63.0325,192372,1500800,-1.36391,-48.3743
67,1100023,-9.90571,-63.0325,140382,1506807,-2.43849,-54.6996
68,1100023,-9.90571,-63.0325,153576,1721000,-10.24,-48.3558
69,1100023,-9.90571,-63.0325,234378,2303709,-3.72797,-38.6619
70,1100023,-9.90571,-63.0325,238758,2504009,-7.22196,-35.8731
71,1100023,-9.90571,-63.0325,231462,2604106,-8.28455,-35.9699
72,1100023,-9.90571,-63.0325,231726,2607901,-8.11298,-35.015
73,1100023,-9.90571,-63.0325,233022,2609600,-8.01017,-34.8545
74,1100023,-9.90571,-63.0325,233388,2610707,-7.93401,-34.8684
75,1100023,-9.90571,-63.0325,211104,2611101,-9.38866,-40.5027
76,1100023,-9.90571,-63.0325,197952,2910800,-12.2664,-38.9663
77,1100023,-9.90571,-63.0325,180666,2933307,-14.8615,-40.8442
78,1100023,-9.90571,-63.0325,150318,3106705,-19.9668,-44.2008
79,1100023,-9.90571,-63.0325,151194,3118601,-19.9321,-44.0539
80,1100023,-9.90571,-63.0325,163428,3136702,-21.7595,-43.3398
81,1100023,-9.90571,-63.0325,156078,3143302,-16.7282,-43.8578
82,1100023,-9.90571,-63.0325,152256,3154606,-19.7621,-44.0844
83,1100023,-9.90571,-63.0325,126852,3170107,-19.7472,-47.9381
84,1100023,-9.90571,-63.0325,122616,3170206,-18.9141,-48.2749
85,1100023,-9.90571,-63.0325,181608,3201308,-20.2632,-40.4165
86,1100023,-9.90571,-63.0325,183534,3205002,-20.121,-40.3074
87,1100023,-9.90571,-63.0325,182388,3205200,-20.3417,-40.2875
88,1100023,-9.90571,-63.0325,160806,3300456,-22.764,-43.3992
89,1100023,-9.90571,-63.0325,177234,3301009,-21.7622,-41.3181
90,1100023,-9.90571,-63.0325,161352,3301702,-22.7858,-43.3049
91,1100023,-9.90571,-63.0325,163284,3303302,-22.8832,-43.1034
92,1100023,-9.90571,-63.0325,160560,3303500,-22.7556,-43.4603
93,1100023,-9.90571,-63.0325,163674,3303906,-22.52,-43.1926
94,1100023,-9.90571,-63.0325,163440,3304904,-22.8268,-43.0634
95,1100023,-9.90571,-63.0325,160980,3305109,-22.8058,-43.3729
96,1100023,-9.90571,-63.0325,133722,3506003,-22.3246,-49.0871
97,1100023,-9.90571,-63.0325,143898,3510609,-23.5235,-46.8407
98,1100023,-9.90571,-63.0325,145410,3513801,-23.6813,-46.6205
99,1100023,-9.90571,-63.0325,133956,3516200,-20.5352,-47.4039
